,index,lat,lon
201,201,40.61824,-80.09567
202,202,40.11218,-83.02084
203,203,41.06472,-81.50414
204,204,39.972875,-85.965902
205,205,39.97368,-83.0835
206,206,40.11218,-83.02084
207,207,40.00631,-82.87275
208,208,39.99008,-85.92858000000004
209,209,41.31438,-81.51325
210,210,41.12401,-80.677376
211,211,41.11928,-80.6912
212,212,40.05456,-83.03166
213,213,38.11748,-85.76035300000002
214,214,41.42336,-81.64497
215,215,38.61838,-80.75247
216,216,41.11882,-80.69266
217,217,39.94916,-82.94373
218,218,41.06268,-81.51988
219,219,40.1119,-83.01663
220,220,39.875819,-83.051608
221,221,40.05188,-83.03256999999998
222,222,41.13,-85.15408000000002
223,223,41.18004000000001,-85.1033
224,224,38.12853,-83.74765
225,225,41.63548,-83.54284
226,226,39.15228,-84.5412
227,227,40.96051,-85.34522
228,228,40.9605,-85.3528
229,229,41.08156,-80.64523
230,230,41.6217,-83.54185
231,231,38.411198,-82.349767
232,232,41.67571,-83.69385
233,233,39.05753,-84.54183
234,234,39.280307,-80.28075600000003
235,235,38.36387,-81.73867
236,236,40.0122,-82.90727
237,237,41.53898,-81.63629
238,238,41.16093,-81.46961999999998
239,239,39.517216,-82.025802
240,240,39.52352,-82.02360999999998
241,241,40.325909,-83.071612
242,242,41.75381,-85.43421
243,243,39.14305,-84.48184
244,244,39.82115,-85.77004000000002
245,245,41.12877,-81.65219
246,246,40.11036,-83.15869
247,247,40.121827,-83.15136700000002
248,248,41.57615,-81.55346
249,249,40.11036,-83.15869
250,250,40.121616,-83.151314
251,251,41.04453,-81.69229
252,252,41.40753,-81.63808
253,253,39.26678,-84.35625999999998
254,254,39.28615,-84.56214
255,255,39.94817000000001,-82.21895
256,256,39.1765,-84.48756999999998
257,257,39.1737,-84.49091999999997
258,258,39.94817000000001,-82.21895
259,259,39.94817000000001,-82.21895
260,260,41.68548,-83.5675
261,261,41.66683,-83.56736
262,262,39.26717,-84.34628000000002
263,263,41.47865,-81.6931
264,264,39.95816,-80.76231
265,265,39.98564,-80.73999
266,266,41.57785,-81.54899
267,267,38.32603,-83.12193
268,268,38.25962,-85.76688
269,269,38.293235,-85.654685
270,270,39.75639,-83.30702
271,271,41.53926,-81.63025999999998
272,272,39.08809,-84.52274
273,273,38.25846,-85.7632
274,274,41.55022,-81.60536
275,275,39.02297,-84.51624
276,276,41.06477,-81.57343
277,277,40.49463,-80.01246
278,278,41.49153,-81.67114000000002
279,279,39.93172,-82.92729
280,280,41.42065,-81.81108
281,281,41.06477,-81.57343
282,282,40.82802,-81.39715
283,283,41.41817,-81.81766999999998
284,284,41.14226,-85.13611
285,285,38.870401,-84.624431
286,286,41.47954,-81.65531
287,287,40.29313,-80.16943
288,288,39.14667,-84.45366999999997
289,289,41.14589,-81.47551
290,290,39.14981,-84.44584
291,291,39.81978,-84.18983
292,292,39.83889,-84.18975
293,293,41.47023,-81.74188000000002
294,294,39.17376,-84.47991999999998
295,295,39.10234000000001,-84.49799999999998
296,296,41.49922,-81.67178
297,297,39.12338,-84.53556999999998
298,298,41.47865,-81.6931
299,299,39.97672,-83.12431
300,300,39.85816,-84.27955
301,301,39.25235,-84.36476
302,302,38.31682,-85.57698
303,303,39.24591,-84.36599
304,304,39.29429,-84.36989
305,305,39.13454,-84.53289000000002
306,306,41.46101,-81.49124
307,307,39.29367,-84.31562
308,308,39.26717,-84.34628000000002
309,309,38.20732,-85.75066
310,310,40.26907,-82.92694
311,311,41.47957,-81.66823000000002
312,312,39.08887,-84.52271
313,313,41.6882,-83.64064
314,314,40.04638,-82.99752
315,315,39.86554,-84.06065
316,316,38.418107,-82.28627900000002
317,317,41.47414000000001,-81.699832
318,318,41.47418,-81.69581600000002
319,319,40.10307,-83.12989
320,320,40.053618,-80.676385
321,321,38.19007,-85.73536
322,322,38.26187,-85.73188
323,323,39.1765,-84.48756999999998
324,324,41.0625,-81.51523
325,325,39.27422,-84.44023
326,326,39.89923,-82.90135
327,327,40.09826,-83.13456
328,328,41.33738,-81.81721999999998
329,329,40.10717,-82.95766
330,330,39.47208,-80.12134
331,331,41.46977,-81.74887
332,332,38.34128,-81.70406
333,333,41.163626,-85.24482900000002
334,334,41.160009,-85.232528
335,335,39.12338,-84.53556999999998
336,336,40.945772,-81.17219399999998
337,337,41.704523,-83.9136
338,338,41.68591,-83.911307
339,339,40.94537,-81.15473
340,340,38.84111,-82.98432
341,341,38.82445,-82.98299
342,342,39.003968,-84.42433
343,343,39.97002,-85.35153000000003
344,344,39.26867,-81.49909
345,345,40.42642,-85.54938
346,346,40.27678,-85.55806
347,347,38.131965,-81.39174100000002
348,348,38.530883,-85.774975
349,349,38.358832,-81.717444
350,350,38.39614,-81.59262
351,351,40.05915,-82.99840999999998
352,352,40.02523,-82.9945
353,353,41.68965,-83.52904000000002
354,354,39.35249,-84.37607
355,355,39.114581,-84.532211
356,356,39.04827,-83.77199
357,357,39.05029,-83.77673
358,358,40.05089,-82.90272
359,359,39.09841,-84.49
360,360,40.43077,-80.02638
361,361,41.438119,-85.15969399999999
362,362,41.443708,-85.19285
363,363,41.47442,-81.71181999999997
364,364,39.05964,-84.416682
365,365,39.22518,-84.45309
366,366,41.096131,-81.499969
367,367,41.1215,-81.48673000000002
368,368,39.10234000000001,-84.49799999999998
369,369,41.46786,-81.6927
370,370,41.52492,-83.46009000000002
371,371,41.52383,-83.46191999999998
372,372,41.43592,-81.6825
373,373,38.22295,-85.50419000000002
374,374,40.82802,-81.39715
375,375,38.22293,-85.50793
376,376,39.12632,-84.53449
377,377,39.09754,-84.52216
378,378,39.63103,-84.20713
379,379,40.39715,-80.10368000000003
380,380,41.55022,-81.60536
381,381,41.18225,-84.94275999999998
382,382,39.09841,-84.52241
383,383,41.54706,-83.60676
384,384,38.45536,-81.49748000000002
385,385,41.2363,-83.65434
386,386,39.25135,-81.32426
387,387,41.351335,-82.26144599999998
388,388,41.345031,-82.285379
389,389,38.38457,-81.804429
390,390,40.41057,-80.00560899999998
391,391,39.99881,-83.11846
392,392,41.04245,-81.50519
393,393,41.68901,-83.5409
394,394,39.626237,-83.73105
395,395,39.587784,-83.723939
396,396,41.06203,-81.504711
397,397,39.97033,-82.98413000000002
398,398,39.94182,-83.01106999999998
399,399,41.208579,-82.807829
400,400,41.39914,-81.8168
401,401,39.2875,-84.40252
402,402,39.87203,-82.93335
403,403,40.04873,-82.99743000000002
404,404,39.97033,-82.98413000000002
405,405,41.890234,-85.409642
406,406,41.874915,-85.409527
407,407,39.93467,-82.7846
408,408,40.05188,-83.03256999999998
409,409,40.005868,-82.915318
410,410,39.88193,-83.04711999999998
411,411,40.98436,-81.49002
412,412,38.54355,-85.7781
413,413,41.08153,-81.50362
414,414,38.57822,-85.77896
415,415,41.411,-81.66885
416,416,38.580444,-85.77866
417,417,39.814012,-84.084039
418,418,38.303959000000006,-85.88481999999998
419,419,39.95664,-83.37415
420,420,39.93654,-83.40048
421,421,39.17128,-84.40266
422,422,40.01676,-83.03354
423,423,39.94576,-85.63454
424,424,39.97518,-85.63374
425,425,40.2777,-85.67459000000002
426,426,39.173643,-84.478397
427,427,41.68395,-83.56978000000002
428,428,41.66502,-85.02544
429,429,41.68976,-83.666
430,430,39.94448,-82.94219
431,431,41.48338,-81.66281
432,432,41.735607,-84.982292
433,433,39.96847,-83.04476
434,434,41.96429000000001,-83.35018000000002
435,435,41.283091,-83.638885
436,436,41.63663,-83.49134000000002
437,437,41.471378,-85.839527
438,438,41.427584,-85.8495
439,439,41.47442,-81.71181999999997
440,440,39.18583,-84.48269
441,441,41.94497,-80.40208
442,442,39.54323,-84.29281
443,443,41.438773,-81.803398
444,444,39.92986,-82.85977
445,445,40.44374000000001,-80.02855
446,446,39.976594,-83.129738
447,447,39.97672,-83.12431
448,448,39.97482,-83.12103
449,449,39.97075,-83.11950999999998
450,450,39.22375,-84.36332
451,451,39.97073,-83.11941
452,452,39.73167,-84.2058
453,453,41.39914,-81.8168
454,454,41.41371,-81.67271
455,455,39.22518,-84.45309
456,456,40.1119,-83.01663
457,457,40.29313,-80.16943
458,458,41.49243,-81.67554
459,459,40.1836,-80.25914
460,460,39.97368,-83.0835
461,461,39.98511,-85.14406
462,462,39.97527,-85.14018
463,463,38.29905,-85.7535
464,464,39.94143,-83.39224
465,465,39.12965,-84.49555
466,466,41.03075,-81.892714
467,467,41.43592,-81.6825
468,468,40.67137,-80.22581
469,469,40.6664,-80.227514
470,470,41.254786,-81.369883
471,471,40.402251,-85.842969
472,472,40.354252,-85.843032
473,473,41.26705,-85.85486
474,474,39.97844,-82.97351
475,475,39.96392,-81.27197
476,476,39.9672,-81.28699999999998
477,477,41.53542,-83.61733000000002
478,478,39.93297000000001,-82.83105
479,479,39.07186,-84.51935999999998
480,480,39.8552,-84.32836
481,481,41.65458,-85.58601
482,482,41.39413,-81.65326
483,483,41.06239,-81.52229
484,484,41.09731,-81.49995
485,485,41.86726,-85.67069000000002
486,486,38.151068,-80.92662
487,487,41.5105,-85.57781
488,488,41.52447,-85.57791
489,489,39.89923,-82.90135
490,490,41.198856,-81.481347
491,491,38.772052,-80.675246
492,492,39.22533,-84.37828
493,493,40.777806,-80.125952
494,494,38.913672,-80.58208
495,495,39.83707,-83.09407
496,496,39.87483,-83.05228000000002
497,497,39.844826,-83.08717
498,498,41.676364,-83.693898
499,499,41.12929000000001,-85.16244
500,500,39.10293,-84.52453
501,501,41.53542,-83.61733000000002
502,502,39.09875,-84.52119
503,503,39.95423,-82.98879000000002
504,504,39.20497,-84.46976
505,505,39.955229,-82.98485500000002
506,506,40.44126,-80.19314
507,507,40.40934,-80.19247
508,508,39.1765,-84.48756999999998
509,509,39.1765,-84.48756999999998
510,510,39.15256,-84.53893000000002
511,511,39.77395,-85.14621
512,512,41.67571,-83.69385
513,513,41.67571,-83.69385
514,514,39.28297,-84.36747
515,515,41.45406,-83.62244
516,516,39.07599,-84.51941
517,517,38.268034,-85.750619
